OID_,Region,GMUvalue,GMUlabel,Unit,SqMi,Shape_Length,Shape_Area,sqMi_GMU
1,1,1,1,01,22684.956892509999307,2003660.995015713386238,58753768627.463531494140625,22684.5429688
2,1,2,2,02,6542.933836754020376,702958.965770995477214,16946120841.709606170654297,6542.9213867
3,1,3,3,03,5536.982171590960206,693595.033958003623411,14340717989.702575683593750,5536.9868164
4,1,4,4,04,9714.994546317939239,809382.162325198645703,25161720363.678310394287109,9714.9990234
5,1,5,5,05,7130.798162362770199,834109.245174938580021,18468682455.329421997070313,7130.7597656
6,2,6,6,06,15718.414763316799508,1585437.630189106101170,40710507345.038955688476563,15718.4326172
7,2,7,7,07,4514.759118324440351,727267.560839491663501,11693172435.974386215209961,4514.7646484
8,2,8,8,08,9388.932173171429895,1226356.099281026981771,24317222694.110469818115234,9388.9238281
9,2,14,14,14,2169.900180791610182,423716.801549775584135,5620015668.137108802795410,2169.8996582
10,2,15,15,15,7275.397367611870322,696854.092891775886528,18843192677.640033721923828,7275.3076172
11,3,12,12,12,9988.841372857850729,1127770.434260882670060,25870980388.377914428710938,9988.8417969
12,3,19,19,19,36484.268560826501925,2517928.473483627662063,94493821774.587509155273438,36484.2695313
13,3,20,20,20,50326.817339283399633,2753673.010845558252186,130345858522.885879516601563,50326.8164063
14,3,21,21,21,43872.736608530300146,2526756.370178626850247,113629866169.255233764648438,43872.7382813
15,3,24,24,24,26069.404710573599004,2291888.944619596004486,67519448235.163566589355469,26069.4042969
16,3,25,25,25,53220.302468143599981,2353637.805150351487100,137839950603.095489501953125,53220.3007813
17,3,26,26,26,27329.514629745299317,1800244.215179181890562,70783117943.111465454101563,27329.5351563
18,4,9,9,09,47101.264224886399461,3886798.976854644250125,121991714308.424255371093750,47101.2929688
19,4,10,10,10,17419.695429448798677,4866501.231712970882654,45116804042.093742370605469,17419.6914063
20,4,11,11,11,12371.009446274600123,1226884.682218266651034,32040767374.548801422119141,12371.0097656
21,4,13,13,13,23378.282010584200179,1857235.434797169640660,60549472439.639961242675781,23378.2812500
22,4,14,14,14,4821.854580865319804,665141.692838389542885,12488546032.590213775634766,4821.8632813
23,4,16,16,16,12961.441606636899451,1168759.626730976626277,33569979649.648902893066406,12961.5732422
24,4,17,17,17,20349.061085361900041,2402648.115721888840199,52703826260.751091003417969,20349.0839844
25,5,18,18,18,45454.012290717502765,2836408.758994505740702,117725351384.752059936523438,45454.0273438
26,5,22,22,22,31499.505846502899658,3059384.196293941233307,81583345613.318084716796875,31500.7675781
27,5,23,23,23,47099.307745264501136,2587810.913205127231777,121986647049.466064453125000,47098.0664063
28,5,26,26,26,56210.493524537800113,2465023.404978426173329,145584509885.784851074218750,56210.4179688
